id,name,country,status,reactor_type,reactor_model,construction_start,operational_from,operational_to,capacity,last_updated,source,iaeaid
270,Biblis-1,Germany,Shut down/in decommissioning,PWR,Siemens-KWU,1 Jan 1970,26 Feb 1975,6 Aug 2011,1167.0,,,
271,Biblis-2,Germany,Shut down/in decommissioning,PWR,KWU,1 Feb 1972,31 Jan 1977,6 Aug 2011,1240.0,,,
272,Brokdorf-1,Germany,Shut down,PWR,KWU,1 Jan 1976,22 Dec 1986,31 Dec 2021,1410.0,,,
273,Brunsbüttel-1,Germany,Shut down,BWR,BWR-69,15 Apr 1970,9 Feb 1977,6 Aug 2011,771.0,,,
274,Emsland-1,Germany,Shut down,PWR,Konvoi (KWU),10 Aug 1982,20 Jun 1988,15 Apr 2023,1329.0,,,
275,Grafenrheinfeld-1,Germany,Shut down,PWR,KWU,1 Jan 1975,17 Jun 1982,27 Jun 2015,1275.0,,,
276,Greifswald-1,Germany,Shut down/in decommissioning,PWR,VVER-440/V-230,1 Mar 1970,12 Jul 1974,14 Feb 1990,408.0,,,
277,Greifswald-2,Germany,Shut down/in decommissioning,PWR,VVER-440/V-230,1 Mar 1970,16 Apr 1975,14 Feb 1990,408.0,,,
278,Greifswald-3,Germany,Shut down/in decommissioning,PWR,VVER-440/V-230,1 Apr 1972,1 May 1978,28 Feb 1990,408.0,,,
279,Greifswald-4,Germany,Shut down/in decommissioning,PWR,VVER-440/V-230,1 Apr 1972,1 Nov 1979,22 Jul 1990,408.0,,,
280,Greifswald-5,Germany,Shut down/in decommissioning,PWR,VVER-440/V-213,1 Dec 1976,1 Nov 1989,24 Nov 1989,408.0,,,
281,Greifswald-6,Germany,Finished; never entered service,PWR,VVER-440/V-213,,,,408.0,,,
282,Grohnde-1,Germany,Shut down,PWR,KWU,1 Jun 1976,1 Feb 1985,31 Dec 2021,1360.0,,,
283,Grosswelzheim-1,Germany,Dismantled,BWR,BWR,1 Jan 1965,2 Aug 1970,20 Apr 1971,25.0,,,
284,Gundremmingen-A,Germany,Shut down/in decommissioning,BWR,"GE, BWR-1",12 Dec 1962,12 Apr 1967,13 Jan 1977,237.0,,,
285,Gundremmingen-B,Germany,Shut down,BWR,BWR-72 (KWU),20 Jul 1976,19 Jul 1984,31 Dec 2017,1284.0,,,
286,Gundremmingen-C,Germany,Shut down,BWR,BWR-72 (KWU),20 Jul 1976,18 Jan 1985,31 Dec 2021,1288.0,,,
287,Isar-1,Germany,Shut down/in decommissioning,BWR,BWR-69,1 May 1972,21 Mar 1979,6 Aug 2011,878.0,,,
288,Isar-2,Germany,Shut down,PWR,Konvoi (KWU),15 Sep 1982,9 Apr 1988,15 Apr 2023,1410.0,,,
289,Kahl-1,Germany,Dismantled,BWR,BWR,1 Jul 1958,1 Feb 1962,25 Nov 1985,15.0,,,
290,SNR-300-1,Germany,Finished; never entered service,FBR,,1972,,1985,0,,,
291,KNK II-1,Germany,Shut down,FBR,,1 Sep 1974,3 Mar 1979,23 Aug 1991,17.0,,,
292,Krümmel-1,Germany,Shut down,BWR,BWR-69 (KWU),5 Apr 1974,28 Mar 1984,6 Aug 2011,1346.0,,,
293,Lingen-1,Germany,Shut down,BWR,BWR,1 Oct 1964,1 Oct 1968,5 Jan 1977,183.0,,,
294,Mülheim-Kärlich-1,Germany,Shut down/in decommissioning,PWR,B & W,15 Jan 1975,8 Aug 1987,9 Sep 1988,1219.0,,,
295,MZFR-1,Germany,Shut down,PHWR,PHWR,1 Dec 1961,19 Dec 1966,3 May 1984,52.0,,,
296,Neckarwestheim-1,Germany,Shut down,PWR,KWU,1 Feb 1972,1 Dec 1976,6 Aug 2011,785.0,,,
297,Neckarwestheim-2,Germany,Shut down,PWR,Konvoi (KWU),9 Nov 1982,15 Apr 1989,15 Apr 2023,1310.0,,,
298,Niederaichbach-1,Germany,Shut down/decommissioned,HWGCR,Pressure tube reactor,1 Jun 1966,1 Jan 1973,31 Jul 1974,100.0,,,
299,Obrigheim-1,Germany,Shut down/in decommissioning,PWR,Siemens,15 Mar 1965,31 Mar 1969,11 May 2005,340.0,,,
300,Philippsburg-1,Germany,Shut down,BWR,BWR-69,1 Oct 1970,26 Mar 1980,6 Aug 2011,890.0,,,
301,Philippsburg-2,Germany,Shut down,PWR,KWU,7 Jul 1977,18 Apr 1985,31 Dec 2019,1402.0,,,
302,Rheinsberg-1,Germany,Shut down/in decommissioning,PWR,VVER-70,1 Jan 1960,11 Oct 1966,1 Jun 1990,62.0,,,
303,Stade-1,Germany,Shut down/in decommissioning,PWR,Siemens,1 Dec 1967,19 May 1972,4 Nov 2003,640.0,,,
304,Stendal-1,Germany,Unfinished,PWR,VVER-1000/V-320,1983,,1990,0,,,
305,Stendal-2,Germany,Unfinished,PWR,VVER-1000/V-320,1983,,1990,0,,,
306,Stendal-3,Germany,Never built,PWR,VVER-1000/V-320,,,,0,,,
307,Stendal-4,Germany,Never built,PWR,VVER-1000/V-320,,,,0,,,
308,THTR-300-1,Germany,Decommissioned,HTGR,PBR,3 May 1971,1 Jun 1987,29 Sep 1988,296.0,,,
309,Unterweser-1,Germany,Shut down/in decommissioning,PWR,KWU,1 Jul 1972,6 Sep 1979,6 Aug 2011,1345.0,,,
310,Würgassen-1,Germany,Shut down/in decommissioning,BWR,BWR-69 (AEG),26 Jan 1968,11 Nov 1975,26 Aug 1994,640.0,,,
311,Paks-1,Hungary,Operational,PWR,VVER-440/V-213,1 Aug 1974,10 Aug 1983,,470.0,,,
312,Paks-2,Hungary,Operational,PWR,VVER-440/V-213,1 Aug 1974,14 Nov 1984,,473.0,,,
313,Paks-3,Hungary,Operational,PWR,VVER-440/V-213,1 Oct 1979,1 Dec 1986,,473.0,,,
314,Paks-4,Hungary,Operational,PWR,VVER-440/V-213,1 Oct 1979,1 Nov 1987,,471.0,,,
315,Paks-5,Hungary,Planned,PWR,VVER-1200,(2024),,,1114.0,,,
316,Paks-6,Hungary,Planned,PWR,VVER-1200,(2024),,,1114.0,,,
317,Chutka-1,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
318,Chutka-2,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
319,Gorakhpur-1,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
320,Gorakhpur-2,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
321,Gorakhpur-3,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
322,Gorakhpur-4,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
323,Jaitapur-1,India,Planned,PWR,EPR,,,,1600.0,,,
324,Jaitapur-2,India,Planned,PWR,EPR,,,,1600.0,,,
325,Jaitapur-3,India,Planned,PWR,EPR,,,,1600.0,,,
326,Jaitapur-4,India,Planned,PWR,EPR,,,,1600.0,,,
327,Jaitapur-5,India,Planned,PWR,EPR,,,,1600.0,,,
328,Jaitapur-6,India,Planned,PWR,EPR,,,,1600.0,,,
329,Kaiga-1,India,Operational,PHWR,IPHWR-220,1 Sep 1989,16 Nov 2000,,202.0,,,
330,Kaiga-2,India,Operational,PHWR,IPHWR-220,1 Dec 1989,16 Mar 2000,,202.0,,,
331,Kaiga-3,India,Operational,PHWR,IPHWR-220,30 Mar 2002,6 May 2007,,202.0,,,
332,Kaiga-4,India,Operational,PHWR,IPHWR-220,10 May 2002,20 Jan 2011,,202.0,,,
333,Kaiga-5,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
334,Kaiga-6,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
335,Kakrapar-1,India,Operational,PHWR,IPHWR-220,1 Dec 1984,6 May 1993,,202.0,,,
336,Kakrapar-2,India,Operational,PHWR,IPHWR-220,1 Apr 1985,1 Sep 1995,,202.0,,,
337,Kakrapar-3,India,Operational,PHWR,IPHWR-700,22 Nov 2010,30 Jun 2023,,630.0,,,
338,Kakrapar-4,India,Under construction,PHWR,IPHWR-700,22 Nov 2010,,,630.0,,,
339,Kudankulam-1,India,Operational,PWR,VVER-1000/V-412,31 Mar 2002,31 Dec 2014,,932.0,,,
340,Kudankulam-2,India,Operational,PWR,VVER-1000/V-412,4 Jul 2002,31 Mar 2017,,932.0,,,
341,Kudankulam-3,India,Under construction,PWR,VVER-1000/V-412,30 Jun 2017,,,917.0,,,
342,Kudankulam-4,India,Under construction,PWR,VVER-1000/V-412,23 Oct 2017,,,917.0,,,
343,Kudankulam-5,India,Under construction,PWR,VVER-1000/V-412,29 Jun 2021,,,917.0,,,
344,Kudankulam-6,India,Under construction,PWR,VVER-1000/V-412,20 Dec 2021,,,917.0,,,
345,Madras-1,India,Operational,PHWR,IPHWR-220,1 Jan 1971,27 Jan 1984,,205.0,,,
346,Madras-2,India,Operational,PHWR,IPHWR-220,1 Oct 1972,21 Mar 1986,,205.0,,,
347,Mahi Banswara-1,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
348,Mahi Banswara-2,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
349,Mahi Banswara-3,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
350,Mahi Banswara-4,India,Planned,PHWR,IPHWR-700,,,,630.0,,,
351,Narora-1,India,Operational,PHWR,IPHWR-220,1 Dec 1976,1 Jan 1991,,202.0,,,
352,Narora-2,India,Operational,PHWR,IPHWR-220,1 Nov 1977,1 Jul 1992,,202.0,,,
353,PFBR-1,India,Under construction,FBR,Prototype,23 Oct 2004,,,470.0,,,
354,Rajasthan-1,India,Shut down,PHWR,CANDU,1 Aug 1965,16 Dec 1973,9 Oct 2004,90.0,,,
355,Rajasthan-2,India,Operational,PHWR,CANDU,1 Apr 1968,1 Apr 1981,,187.0,,,
356,Rajasthan-3,India,Operational,PHWR,IPHWR-220,1 Feb 1990,1 Jun 2000,,202.0,,,
357,Rajasthan-4,India,Operational,PHWR,IPHWR-220,1 Oct 1990,23 Dec 2000,,202.0,,,
358,Rajasthan-5,India,Operational,PHWR,IPHWR-220,18 Sep 2002,4 Feb 2010,,202.0,,,
359,Rajasthan-6,India,Operational,PHWR,IPHWR-220,20 Jan 2003,31 Mar 2010,,202.0,,,
360,Rajasthan-7,India,Under construction,PHWR,IPHWR-700,18 Jul 2011,,,630.0,,,
361,Rajasthan-8,India,Under construction,PHWR,IPHWR-700,30 Sep 2011,,,630.0,,,
362,Tarapur-1,India,Operational,BWR,"BWR-1, Mark 1",1 Oct 1964,28 Oct 1969,,150.0,,,
363,Tarapur-2,India,Operational,BWR,"BWR-1, Mark 1",1 Oct 1964,28 Oct 1969,,150.0,,,
364,Tarapur-3,India,Operational,PHWR,IPHWR-540,12 May 2000,18 Aug 2006,,490.0,,,
365,Tarapur-4,India,Operational,PHWR,IPHWR-540,8 Mar 2000,12 Sep 2005,,490.0,,,
366,Bushehr-1,Iran,Operational,PWR,VVER-1000/V-446,1 May 1975,23 Sep 2013,,915.0,,,
367,Bushehr-2,Iran,Under construction,PWR,VVER-1000/V-528,27 Sep 2019,,,915.0,,,
368,Bushehr-3,Iran,Planned,PWR,VVER-1000,,,,915.0,,,
369,Darkhovin-1,Iran,Unfinished; restart planned,PWR,,,,,360.0,,,
370,Caorso-1,Italy,Shut down/in decommissioning,BWR,BWR-4 Mark2,1 Jan 1970,1 Dec 1981,1 Jul 1990,860.0,,,
371,Enrico Fermi-1,Italy,Shut down/in decommissioning,PWR,WH 4-loop,1 Jul 1961,1 Jan 1965,1 Jul 1990,260.0,,,
372,Garigliano-1,Italy,Shut down/in decommissioning,BWR,BWR-1,1 Nov 1959,1 Jun 1964,1 Mar 1982,150.0,,,
373,Latina-1,Italy,Shut down/in decommissioning,GCR,Magnox,1 Nov 1958,1 Jan 1964,1 Dec 1987,153.0,,,
374,Alto Lazio-1,Italy,Unfinished,BWR,,1 Jul 1982,,1 Jan 1988,982.0,,,
375,Alto Lazio-2,Italy,Unfinished,BWR,,1 Jul 1982,,1 Jul 1988,982.0,,,
376,Trino 2 -1,Italy,Unfinished,PWR,,,,23 Dec 1987,950.0,,,
377,Trino 2 -2,Italy,Unfinished,PWR,,,,23 Dec 1987,950.0,,,
378,Fugen-1,Japan,Shut down,HWLWR,ATR,10 May 1972,20 Mar 1979,29 Mar 2003,148.0,,,
379,Fukushima Daiichi-1,Japan,Inoperable,BWR,BWR-3,25 Jul 1967,26 Mar 1971,19 May 2011,439.0,,,
380,Fukushima Daiichi-2,Japan,Inoperable,BWR,BWR-4,9 Jun 1969,18 Jul 1974,19 May 2011,760.0,,,
381,Fukushima Daiichi-3,Japan,Inoperable,BWR,BWR-4,28 Dec 1970,27 Mar 1976,19 May 2011,760.0,,,
382,Fukushima Daiichi-4,Japan,Inoperable,BWR,BWR-4,12 Feb 1973,12 Oct 1978,19 May 2011,760.0,,,
383,Fukushima Daiichi-5,Japan,Shut down,BWR,BWR-4,22 May 1972,18 Apr 1978,17 Dec 2013,760.0,,,
384,Fukushima Daiichi-6,Japan,Shut down,BWR,BWR-5,26 Oct 1973,24 Oct 1979,17 Dec 2013,1067.0,,,
385,Fukushima Daini-1,Japan,Shut down,BWR,BWR-5,16 Mar 1976,20 Apr 1982,30 Sep 2019,1067.0,,,
386,Fukushima Daini-2,Japan,Shut down,BWR,BWR-5,25 May 1979,3 Feb 1984,30 Sep 2019,1067.0,,,
387,Fukushima Daini-3,Japan,Shut down,BWR,BWR-5,23 Mar 1981,21 Jun 1985,30 Sep 2019,1067.0,,,
388,Fukushima Daini-4,Japan,Shut down,BWR,BWR-5,28 May 1981,25 Aug 1987,30 Sep 2019,1067.0,,,
389,Genkai-1,Japan,Shut down,PWR,Mitsubishi (2-loop),15 Sep 1971,15 Oct 1975,27 Apr 2015,529.0,,,
390,Genkai-2,Japan,Shut down,PWR,Mitsubishi (2-loop),1 Feb 1977,30 Mar 1981,9 Apr 2019,529.0,,,
391,Genkai-3,Japan,Operational,PWR,Mitsubishi (4-loop),1 Jun 1988,18 Mar 1994,,1127.0,,,
392,Genkai-4,Japan,Operational,PWR,Mitsubishi (4-loop),15 Jul 1992,25 Jul 1997,,1127.0,,,
393,Hamaoka-1,Japan,Shut down,BWR,BWR-4,10 Jun 1971,17 Mar 1976,30 Jan 2009,515.0,,,
394,Hamaoka-2,Japan,Shut down,BWR,BWR-4,14 Jun 1974,29 Nov 1978,30 Jan 2009,806.0,,,
395,Hamaoka-3,Japan,"Operation suspended
(under review)",BWR,BWR-5,18 Apr 1983,28 Aug 1987,,1056.0,,,
396,Hamaoka-4,Japan,"Operation suspended
(under review)",BWR,BWR-5,13 Oct 1989,3 Sep 1993,,1092.0,,,
397,Hamaoka-5,Japan,Operation suspended,BWR,ABWR,12 Jul 2000,18 Jan 2005,,1325.0,,,
398,Higashidōri (Tōhoku)-1,Japan,"Operation suspended
(under review)",BWR,BWR-5,7 Nov 2000,8 Dec 2005,,1067.0,,,
399,Higashidōri (Tokyo)-1,Japan,Unfinished; restart planned,BWR,ABWR,25 Jan 2011,,,1350.0,,,
400,Ikata-1,Japan,Shut down,PWR,Mitsubishi (2-loop),1 Sep 1973,30 Sep 1977,25 Mar 2016,538.0,,,
401,Ikata-2,Japan,Shut down,PWR,Mitsubishi (2-loop),1 Aug 1978,19 Mar 1982,27 Mar 2018,538.0,,,
402,Ikata-3,Japan,Operational,PWR,Mitsubishi (3-loop),1 Oct 1990,15 Dec 1994,,846.0,,,
403,Kashiwazaki-Kariwa-1,Japan,Operation suspended,BWR,BWR-5,5 Jun 1980,18 Sep 1985,,1067.0,,,
404,Kashiwazaki-Kariwa-2,Japan,Operation suspended,BWR,BWR-5,18 Nov 1985,28 Sep 1990,,1067.0,,,
405,Kashiwazaki-Kariwa-3,Japan,Operation suspended,BWR,BWR-5,7 Mar 1989,11 Aug 1993,,1067.0,,,
406,Kashiwazaki-Kariwa-4,Japan,Operation suspended,BWR,BWR-5,5 Mar 1990,11 Aug 1994,,1067.0,,,
407,Kashiwazaki-Kariwa-5,Japan,Operation suspended,BWR,BWR-5,20 Jun 1985,10 Apr 1990,,1067.0,,,
408,Kashiwazaki-Kariwa-6,Japan,"Operation suspended
(restart approved)",BWR,ABWR,3 Nov 1992,7 Nov 1996,,1315.0,,,
409,Kashiwazaki-Kariwa-7,Japan,"Operation suspended
(restart approved)",BWR,ABWR,1 Jul 1993,2 Jul 1997,,1315.0,,,
410,Mihama-1,Japan,Shut down,PWR,Mitsubishi (2-loop),1 Feb 1967,28 Nov 1970,Mar 2015,320.0,,,
411,Mihama-2,Japan,Shut down,PWR,Mitsubishi (2-loop),29 May 1968,25 Jul 1972,Mar 2015,470.0,,,
412,Mihama-3,Japan,Operational,PWR,Mitsubishi (3-loop),7 Aug 1972,1 Dec 1976,,780.0,,,
413,Monju-1,Japan,Shut down,FBR,,10 May 1986,29 Aug 1995,5 Dec 2017,246.0,,,
414,Ōi-1,Japan,Shut down,PWR,W (4-loop),26 Oct 1972,27 Mar 1979,Dec 2017,1120.0,,,
415,Ōi-2,Japan,Shut down,PWR,Westinghouse (4-loop),8 Dec 1972,5 Dec 1979,Dec 2017,1120.0,,,
416,Ōi-3,Japan,Operational,PWR,Mitsubishi (4-loop),3 Oct 1987,18 Dec 1991,,1127.0,,,
417,Ōi-4,Japan,Operational,PWR,Mitsubishi (4-loop),13 Jun 1988,2 Feb 1993,,1127.0,,,
418,Ōma-1,Japan,Under construction,BWR,ABWR,7 May 2010,,,1325.0,,,
419,Onagawa-1,Japan,Shut down,BWR,BWR-4,8 Jul 1980,1 Jun 1984,21 Dec 2018,498.0,,,
420,Onagawa-2,Japan,"Operation suspended
(restart approved)",BWR,BWR-5,12 Apr 1991,28 Jul 1995,,796.0,,,
421,Onagawa-3,Japan,Operation suspended,BWR,BWR-5,23 Jan 1998,30 Jan 2002,,796.0,,,
422,Sendai-1,Japan,Operational,PWR,Mitsubishi (3-loop),15 Dec 1979,4 Jul 1984,,846.0,,,
423,Sendai-2,Japan,Operational,PWR,Mitsubishi (3-loop),12 Oct 1981,28 Nov 1985,,846.0,,,
424,Shika-1,Japan,Operation suspended,BWR,BWR-5,1 Jul 1989,30 Jul 1993,,505.0,,,
425,Shika-2,Japan,"Operation suspended
(under review)",BWR,ABWR,20 Aug 2001,15 Mar 2006,,1108.0,,,
426,Shimane-1,Japan,Shut down,BWR,BWR-3,2 Jul 1970,29 Mar 1974,Mar 2015,439.0,,,
427,Shimane-2,Japan,"Operation suspended
(restart approved)",BWR,BWR-5,2 Feb 1985,10 Feb 1989,,789.0,,,
428,Shimane-3,Japan,Under construction,BWR,ABWR,12 Oct 2007,,,1325.0,,,
429,Takahama-1,Japan,Operational,PWR,Mitsubishi (3-loop),25 Apr 1970,14 Nov 1974,,780.0,,,
430,Takahama-2,Japan,Operational,PWR,Mitsubishi (3-loop),9 Mar 1971,14 Nov 1975,,780.0,,,
431,Takahama-3,Japan,Operational,PWR,Mitsubishi (3-loop),12 Dec 1980,17 Jan 1985,,830.0,,,
432,Takahama-4,Japan,Operational,PWR,Mitsubishi (3-loop),19 Mar 1981,5 Jun 1985,,830.0,,,
433,Tōkai-1,Japan,Shut down,GCR,Magnox,1 Mar 1961,25 Jul 1966,31 Mar 1998,137.0,,,
434,Tōkai-2,Japan,"Operation suspended
(restart approved)",BWR,BWR-5,3 Oct 1973,28 Nov 1978,,1060.0,,,
435,Tomari-1,Japan,"Operation suspended
(under review)",PWR,Mitsubishi (2-loop),18 Apr 1985,22 Jun 1989,,550.0,,,
436,Tomari-2,Japan,"Operation suspended
(under review)",PWR,Mitsubishi (2-loop),13 Jun 1985,12 Apr 1991,,550.0,,,
437,Tomari-3,Japan,"Operation suspended
(under review)",PWR,Mitsubishi (3-loop),18 Nov 2004,22 Dec 2009,,866.0,,,
438,Tsuruga-1,Japan,Shut down,BWR,BWR-2,24 Nov 1966,14 Mar 1970,Mar 2015,340.0,,,
439,Tsuruga-2,Japan,"Operation suspended
(under review)",PWR,Mitsubishi (4-loop),6 Nov 1982,17 Feb 1987,,1108.0,,,
440,Aktau-1,Kazakhstan,Shut down/in decommissioning,FBR,BN-350,1 Oct 1964,16 Jul 1973,22 Apr 1999,350.0,,,
441,Ignalina-1,Lithuania,Shut down/in decommissioning,LWGR,RBMK-1500,1 May 1977,1 May 1985,31 Dec 2004,1185.0,,,
442,Ignalina-2,Lithuania,Shut down/in decommissioning,LWGR,RBMK-1500,1 Jan 1978,1 Dec 1987,31 Dec 2009,1185.0,,,
443,Ignalina-3,Lithuania,Unfinished,LWGR,RBMK-1500,,,,1185.0,,,
444,Ignalina-4,Lithuania,Never built,LWGR,RBMK-1500,,,,1185.0,,,
445,Laguna Verde-1,Mexico,Operational,BWR,BWR-5,1 Oct 1976,28 Jul 1990,,777.0,,,
446,Laguna Verde-2,Mexico,Operational,BWR,BWR-5,1 Jun 1977,10 Apr 1995,,775.0,,,
447,Borssele-1,Netherlands,Operational,PWR,KWU 2LP,1 Jul 1969,26 Oct 1973,(2033),482.0,,,
448,Dodewaard-1,Netherlands,Shut down,BWR,BWR-2,1 May 1965,26 Mar 1969,26 Mar 1997,55.0,,,
449,Yongbyon-1,North Korea,Shut down,GCR,Magnox (Pu-production),,,1994,5.0,,,
450,Yongbyon-2,North Korea,Planned,LWR,,,,,30.0,,,
451,Taechon-1,North Korea,Unfinished,,,,,1994,200.0,,,
452,Kumho-1,North Korea,Unfinished,PWR,,,,2003,1000.0,,,
453,Kumho-2,North Korea,Unfinished,PWR,,,,2003,1000.0,,,
454,Chashma-1,Pakistan,Operational,PWR,CNP-300,1 Aug 1993,15 Sep 2000,,300.0,,,
455,Chashma-2,Pakistan,Operational,PWR,CNP-300,28 Dec 2005,18 May 2011,,300.0,,,
456,Chashma-3,Pakistan,Operational,PWR,CNP-300,28 May 2011,6 Dec 2016,,315.0,,,
457,Chashma-4,Pakistan,Operational,PWR,CNP-300,18 Dec 2011,19 Sep 2017,,313.0,,,
458,Chashma-5,Pakistan,Planned,PWR,Hualong One,,,,1080.0,,,
459,Karachi-1,Pakistan,Shut down,PHWR,CANDU-137 MW,1 Aug 1966,7 Dec 1972,1 Aug 2021,90.0,,,
460,Karachi-2,Pakistan,Operational,PWR,Hualong One,23 May 2013,19 Mar 2021,,1014.0,,,
461,Karachi-3,Pakistan,Operational,PWR,Hualong One,31 May 2016,18 Apr 2022,,1014.0,,,
462,Bataan-1,Philippines,Unfinished; restart planned,PWR,Westinghouse,1976,,1986,621.0,,,
463,Żarnowiec-1,Poland,Unfinished,PWR,VVER-440,31 Mar 1982,,4 Sep 1990,440.0,,,
464,Żarnowiec-2,Poland,Unfinished,PWR,VVER-440,31 Mar 1982,,4 Sep 1990,440.0,,,
465,Choczewo-1,Poland,Planned,PWR,AP1000,(2026),(2033),,1250.0,,,
466,Choczewo-2,Poland,Planned,PWR,AP1000,,(2035–2036),,1250.0,,,
467,Choczewo-3,Poland,Planned,PWR,AP1000,,(2037–2039),,1250.0,,,
468,Pątnów-1,Poland,Planned,PWR,APR-1400,,,,1340.0,,,
469,Pątnów-2,Poland,Planned,PWR,APR-1400,,,,1340.0,,,
470,Włocławek-1,Poland,Planned,BWR,BWRX-300,,(2030),,300.0,,,
471,Ostrołęka-1,Poland,Planned,BWR,BWRX-300,,(2030),,300.0,,,
472,Warsaw-1,Poland,Planned,BWR,BWRX-300,,(2030),,300.0,,,
473,Tarnobrzeg/Stalowa Wola-1,Poland,Planned,BWR,BWRX-300,,(2030),,300.0,,,
474,Dąbrowa Górnicza-1,Poland,Planned,BWR,BWRX-300,,(2030),,300.0,,,
475,Stawy Monowskie-1,Poland,Planned,BWR,BWRX-300,,(2030),,300.0,,,
476,Kraków-1,Poland,Planned,BWR,BWRX-300,,(2030),,300.0,,,
477,Cernavodă-1,Romania,Operational,PHWR,CANDU-6,31 Mar 1983,2 Dec 1996,,650.0,,,
478,Cernavodă-2,Romania,Operational,PHWR,CANDU-6,1 Jul 1983,1 Nov 2007,,650.0,,,
479,Cernavodă-3,Romania,Unfinished; restart planned,PHWR,CANDU-6,,,,650.0,,,
480,Cernavodă-4,Romania,Unfinished; restart planned,PHWR,CANDU-6,,,,650.0,,,
481,Cernavodă-5,Romania,Unfinished,PHWR,CANDU-6,,,,650.0,,,
482,Akademik Lomonosov-1,Russia,Operational,PWR,KLT-40S,15 Apr 2007,19 Dec 2019,,32.0,,,
483,Akademik Lomonosov-2,Russia,Operational,PWR,KLT-40S,15 Apr 2007,19 Dec 2019,,32.0,,,
484,Balakovo-1,Russia,Operational,PWR,VVER-1000/V-320,1 Dec 1980,23 May 1986,,950.0,,,
485,Balakovo-2,Russia,Operational,PWR,VVER-1000/V-320,1 Aug 1981,18 Jan 1988,,950.0,,,
486,Balakovo-3,Russia,Operational,PWR,VVER-1000/V-320,1 Nov 1982,8 Apr 1989,,950.0,,,
487,Balakovo-4,Russia,Operational,PWR,VVER-1000/V-320,1 Apr 1984,22 Dec 1993,,950.0,,,
488,Beloyarsk-1,Russia,Shut down,LWGR,AMB-100,1 Jun 1958,26 Apr 1964,1 Jan 1983,102.0,,,
489,Beloyarsk-2,Russia,Shut down,LWGR,AMB-200,1 Jan 1962,1 Dec 1969,1 Jan 1990,146.0,,,
490,Beloyarsk-3,Russia,Operational,SFR,BN-600,1 Jan 1969,1 Nov 1981,,560.0,,,
491,Beloyarsk-4,Russia,Operational,SFR,BN-800,18 Jul 2006,10 Dec 2015,,789.0,,,
492,Beloyarsk-5,Russia,Planned,SFR,BN-1200,,,,1100.0,,,
493,Bilibino-1,Russia,Shut down,LWGR,EGP-6,1 Jan 1970,1 Apr 1974,14 Jan 2019,11.0,,,
494,Bilibino-2,Russia,Operational,LWGR,EGP-6,1 Jan 1970,1 Feb 1975,,11.0,,,
495,Bilibino-3,Russia,Operational,LWGR,EGP-6,1 Jan 1970,1 Feb 1976,,11.0,,,
496,Bilibino-4,Russia,Operational,LWGR,EGP-6,1 Jan 1970,1 Jan 1977,,11.0,,,
497,Kalinin-1,Russia,Operational,PWR,VVER-1000/V-338,1 Feb 1977,12 Jun 1985,,950.0,,,
498,Kalinin-2,Russia,Operational,PWR,VVER-1000/V-338,1 Feb 1982,3 Mar 1987,,950.0,,,
499,Kalinin-3,Russia,Operational,PWR,VVER-1000/V-320,1 Oct 1985,8 Nov 2005,,950.0,,,
500,Kalinin-4,Russia,Operational,PWR,VVER-1000/V-320,1 Aug 1986,25 Dec 2012,,950.0,,,
501,Kaliningrad-1,Russia,"Under construction
(suspended)",PWR,VVER-1200/V-491,22 Feb 2012,,,1109.0,,,
502,Kaliningrad-2,Russia,Planned,PWR,VVER-1200/V-491,,,,1109.0,,,
503,Kola-1,Russia,Operational,PWR,VVER-440/V-230,1 May 1970,28 Dec 1973,,441.0,,,
504,Kola-2,Russia,Operational,PWR,VVER-440/V-230,1 May 1970,21 Feb 1975,,441.0,,,
505,Kola-3,Russia,Operational,PWR,VVER-440/V-213,1 Apr 1977,3 Dec 1982,,441.0,,,
506,Kola-4,Russia,Operational,PWR,VVER-440/V-213,1 Aug 1976,6 Dec 1984,,441.0,,,
507,Kola II-1,Russia,Planned,PWR,VVER-S-600,(2028),(2034),,600.0,,,
508,Kola II-2,Russia,Planned,PWR,VVER-S-600,(2028),(2034),,600.0,,,
509,Kostroma-1,Russia,Unfinished; restart planned,PWR,VVER-1200,1979,,,1300.0,,,
510,Kostroma-2,Russia,Unfinished; restart planned,PWR,VVER-1200,1979,,,1300.0,,,
511,Kostroma-3,Russia,Unfinished; restart planned,PWR,VVER-1200,1979,,,1300.0,,,
512,Kostroma-4,Russia,Unfinished; restart planned,PWR,VVER-1200,1979,,,1300.0,,,
513,Kursk-1,Russia,Shut down,LWGR,RBMK-1000,1 Jun 1972,12 Oct 1977,19 Dec 2021,925.0,,,
514,Kursk-2,Russia,Operational,LWGR,RBMK-1000,1 Jan 1973,17 Aug 1979,,925.0,,,
